productname1,ratings1,oldprice1,discount1,finalprice1,productname2,ratings2,oldprice2,discount2,finalprice2
Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB...,4.2,79890,32% off,53990,ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 ...,4.5,50990,19% off,40990
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 ...,4,61590,30% off,42990,ASUS ROG Strix Ryzen 7 Octa Core 4800H - (8 GB...,4.6,103990,24% off,78990
Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 G...,4.3,99290,33% off,65990,ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/2...,4.3,46990,21% off,36990
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB...,4.1,57290,30% off,39990,ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 ...,4.3,49990,26% off,36990
Lenovo IdeaPad Slim 3 (2021) Ryzen 5 Hexa Core...,4.5,75490,29% off,52990,ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 G...,4.5,73990,24% off,55990
Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 ...,4.3,64290,17% off,52990,ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 G...,4.4,46390,10% off,45990
Lenovo Legion 5 Core i7 10th Gen - (16 GB/512 ...,4.4,86690,7% off,79990,ASUS Ryzen 3 Dual Core 3250U - (4 GB/256 GB SS...,4.1,37990,17% off,33990
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen...,4.2,75390,28% off,53990,ASUS Core i3 10th Gen - (4 GB/1 TB HDD/Windows...,3.5,40990,24% off,33990
Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 ...,4.1,50290,26% off,36990,ASUS VivoBook 15 (2021) Core i7 10th Gen - (16...,4.5,80990,23% off,60990
lenovo Ideapad Flex 5 Core i5 11th Gen Intel E...,4.3,96490,31% off,65990,ASUS ASUS TUF Gaming Core i5 10th Gen - (16 GB...,4.4,89990,15% off,68990
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 465...,4.3,64038,15% off,53990,ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 G...,4.5,68990,22% off,57990
